source,company,title,location,remote,food_keywords_matched,keyword_count,perk_excerpt,date_posted,url
Greenhouse,Taboola,Business Applications Specialist (Salesforce & GenAI),"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...ental, vision, 401k matching), pre-tax commuter benefits, a fully stocked kitchen, and various gym partnerships.</li> <li><strong>Flexibility...",2026-04-14,https://www.taboola.com/careers/job/7742890?gh_jid=7742890
Greenhouse,Mongodb,"2026 - Program Management & Strategic Initiatives Intern, NYC",New York City,Hybrid,free lunch,1,"...cess to mental and physical health benefits, paid time off, free lunch, and more!</li> <li>Impactful Projects: Contribute to proje...",2026-04-14,https://www.mongodb.com/careers/job/?gh_jid=7335926
Greenhouse,Taboola,Programmatic Account Manager,"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...ental, vision, 401k matching), pre-tax commuter benefits, a fully stocked kitchen, parking and various gym partnerships.</span></li> <li styl...",2026-04-13,https://www.taboola.com/careers/job/7538612?gh_jid=7538612
Greenhouse,Taboola,"Advertising Account Manager, Growth","New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...trong> Enjoy comprehensive benefits (health, 401k, etc.), a fully stocked kitchen, and location-specific perks (gym partnerships, parking).</...",2026-04-13,https://www.taboola.com/careers/job/7678634?gh_jid=7678634
Greenhouse,Taboola,"Associate Publisher Account Manager, SMB","New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...trong> Enjoy comprehensive benefits (health, 401k, etc.), a fully stocked kitchen, and location-specific perks (gym partnerships, parking).</...",2026-04-13,https://www.taboola.com/careers/job/7650616?gh_jid=7650616
Greenhouse,Taboola,Human Resources Business Partner,"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...l, vision, 401k matching), pre-tax commuter benefits, and a fully stocked kitchen.</li> <li><strong>Flexibility: </strong>We offer a hybrid w...",2026-04-13,https://www.taboola.com/careers/job/7720784?gh_jid=7720784
Greenhouse,Taboola,"Publisher Account Manager, SMB","New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...trong> Enjoy comprehensive benefits (health, 401k, etc.), a fully stocked kitchen, and location-specific perks (gym partnerships, parking).</...",2026-04-13,https://www.taboola.com/careers/job/7219709?gh_jid=7219709
Greenhouse,Taboola,Account Executive,"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...trong> Enjoy comprehensive benefits (health, 401k, etc.), a fully stocked kitchen, and location-specific perks (gym partnerships, parking).</...",2026-04-13,https://www.taboola.com/careers/job/7572047?gh_jid=7572047
Greenhouse,Klaviyo,"Senior Software Engineer, Internationalisation Platform","London, UK",On-site,free lunch,1,...y from customers and suggesting cool new approaches.</p> <p>Free lunch at our Aldgate office three times a week<br>Highly competit...,2026-03-31,https://www.klaviyo.com/careers/jobs?gh_jid=7568452003
Greenhouse,Braze,"Account Executive, Japan",Tokyo,Hybrid,office lunch,1,...y</li> <li>Braze 内で支援コミュニティを構築する従業員リソースグループ</li> <li>毎週水曜日の Office Lunch Offering</li> <li>他部署とのランチ会</li> <li>Referral Program</li>...,2026-03-06,https://boards.greenhouse.io/braze/jobs/7516233?gh_jid=7516233
Greenhouse,Taboola,"Publisher Sales Manager, SMB","New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...trong> Enjoy comprehensive benefits (health, 401k, etc.), a fully stocked kitchen, and location-specific perks (gym partnerships, parking).</...",2026-04-13,https://www.taboola.com/careers/job/7457440?gh_jid=7457440
Greenhouse,Taboola,Supply Programmatic Account Manager,"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...ental, vision, 401k matching), pre-tax commuter benefits, a fully stocked kitchen, parking and various gym partnerships.</span></li> <li styl...",2026-04-13,https://www.taboola.com/careers/job/7718046?gh_jid=7718046
Greenhouse,Taboola,Solution Engineer,"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...ental, vision, 401k matching), pre-tax commuter benefits, a fully stocked kitchen, and various gym partnerships.</li> <li style=""font-family:...",2026-04-13,https://www.taboola.com/careers/job/7553005?gh_jid=7553005
Greenhouse,Taboola,Salesforce & GenAI Tech Specialist,"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...ental, vision, 401k matching), pre-tax commuter benefits, a fully stocked kitchen, and various gym partnerships.</li> <li><strong>Flexibility...",2026-04-14,https://www.taboola.com/careers/job/7742865?gh_jid=7742865
Greenhouse,Taboola,Senior HRBP,"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...l, vision, 401k matching), pre-tax commuter benefits, and a fully stocked kitchen.</li> <li><strong>Flexibility: </strong>We offer a hybrid w...",2026-04-13,https://www.taboola.com/careers/job/7745870?gh_jid=7745870
Greenhouse,Robinhood,Android Engineer,"Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-03-10,https://boards.greenhouse.io/robinhood/jobs/7350823?t=gh_src=&gh_jid=7350823
Greenhouse,Robinhood,Android Engineer,"Menlo Park, CA",On-site,catered meals,1,"...t=""2455"" data-end=""3175"">Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-06,https://boards.greenhouse.io/robinhood/jobs/7776330?t=gh_src=&gh_jid=7776330
Greenhouse,Taboola,"Senior Advertising Sales Manager, Enterprise","New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...trong> Enjoy comprehensive benefits (health, 401k, etc.), a fully stocked kitchen, and location-specific perks (gym partnerships, parking).</...",2026-04-13,https://www.taboola.com/careers/job/7646053?gh_jid=7646053
Greenhouse,Robinhood,Android Engineer,"Bellevue, WA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-03-10,https://boards.greenhouse.io/robinhood/jobs/7600764?t=gh_src=&gh_jid=7600764
Greenhouse,Robinhood,Communications Compliance Senior Specialist,"Menlo Park, CA; New York, NY; Washington, DC",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-03-24,https://boards.greenhouse.io/robinhood/jobs/7612146?t=gh_src=&gh_jid=7612146
Greenhouse,Robinhood,"Android Full Stack Engineer, Credit Cards & Banking","Bellevue, WA; Menlo Park, CA; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul> <p>&nbsp;</...",2026-04-14,https://boards.greenhouse.io/robinhood/jobs/7490049?t=gh_src=&gh_jid=7490049
Greenhouse,Robinhood,"Credit Business Analyst, Banking Fraud","Menlo Park, CA; New York, NY; Washington, DC",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-03,https://boards.greenhouse.io/robinhood/jobs/7513613?t=gh_src=&gh_jid=7513613
Greenhouse,Robinhood,Content Writer,"Chicago, IL; Denver, CO; Westlake, TX",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-07,https://boards.greenhouse.io/robinhood/jobs/7732495?t=gh_src=&gh_jid=7732495
Greenhouse,Robinhood,Contingent Workforce Planning Partner,"Chicago, IL; Menlo Park, CA; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul> <p><br><br>...",2026-03-24,https://boards.greenhouse.io/robinhood/jobs/7697781?t=gh_src=&gh_jid=7697781
Greenhouse,Robinhood,Crypto AML Investigator,"Denver, CO; New York, NY; Westlake, TX",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-03-27,https://boards.greenhouse.io/robinhood/jobs/7652487?t=gh_src=&gh_jid=7652487
Greenhouse,Robinhood,Customer Experience Associate ,"Denver, CO; Westlake, TX",Hybrid,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.&nbsp;</li> </ul><div c...",2026-04-13,https://boards.greenhouse.io/robinhood/jobs/7811696?t=gh_src=&gh_jid=7811696
Greenhouse,Robinhood,"Customer Experience Associate, Pathway","Westlake, TX",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-07,https://boards.greenhouse.io/robinhood/jobs/7577409?t=gh_src=&gh_jid=7577409
Greenhouse,Robinhood,"Customer Experience Representative, Advanced Services","Chicago, IL; Denver, CO; Westlake, TX",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-03-19,https://boards.greenhouse.io/robinhood/jobs/7659806?t=gh_src=&gh_jid=7659806
Greenhouse,Robinhood,Customer Experience Associate (Unlicensed),"Denver, CO; Westlake, TX",Hybrid,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.&nbsp;</li> </ul><div c...",2026-04-13,https://boards.greenhouse.io/robinhood/jobs/7811695?t=gh_src=&gh_jid=7811695
Greenhouse,Robinhood,Android Engineer,"New York, NY",On-site,catered meals,1,"...t=""2485"" data-end=""3205"">Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-07,https://boards.greenhouse.io/robinhood/jobs/7747572?t=gh_src=&gh_jid=7747572
Greenhouse,Robinhood,Customer Experience Escalations Specialist - Social,"Denver, CO; Westlake, TX",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-01,https://boards.greenhouse.io/robinhood/jobs/7689814?t=gh_src=&gh_jid=7689814
Greenhouse,Robinhood,"Customer Experience Representative, Core Services","Chicago, IL; Denver, CO; Westlake, TX",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-14,https://boards.greenhouse.io/robinhood/jobs/7700505?t=gh_src=&gh_jid=7700505
Greenhouse,Robinhood,Customer Experience Team Lead,"Denver, CO; Westlake, TX",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-13,https://boards.greenhouse.io/robinhood/jobs/7587327?t=gh_src=&gh_jid=7587327
Greenhouse,Robinhood,"Customer Experience Representative, Derivatives ","Chicago, IL; Denver, CO; Westlake, TX",On-site,"catered meals, fully stocked kitchen, stocked kitchen",3,"...al leave, and more!</li> <li>Lively office environment with catered meals, fully stocked kitchens, and geo-specific commuter benefits...",2026-03-19,https://boards.greenhouse.io/robinhood/jobs/7707756?t=gh_src=&gh_jid=7707756
Greenhouse,Robinhood,"Data Scientist, Product","New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul> <p>&nbsp;</...",2026-03-18,https://boards.greenhouse.io/robinhood/jobs/7324983?t=gh_src=&gh_jid=7324983
Greenhouse,Robinhood,"Engineering Manager, Agent Experience","Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-14,https://boards.greenhouse.io/robinhood/jobs/7542965?t=gh_src=&gh_jid=7542965
Greenhouse,Robinhood,"Deal Lead, Robinhood Ventures","Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-02,https://boards.greenhouse.io/robinhood/jobs/7685092?t=gh_src=&gh_jid=7685092
Greenhouse,Robinhood,"Engineering Manager, International","Menlo Park, CA; New York, NY",On-site,catered meals,1,"...ve, and more!<br>&nbsp;● Exceptional office experience with catered meals, events, and comfortable workspaces.</div><div class=""conte...",2026-04-10,https://boards.greenhouse.io/robinhood/jobs/7539771?t=gh_src=&gh_jid=7539771
Greenhouse,Robinhood,"Engineering Manager, Capacity and Efficiency","Bellevue, WA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-13,https://boards.greenhouse.io/robinhood/jobs/7603848?t=gh_src=&gh_jid=7603848
Greenhouse,Robinhood,"Engineering Manager, Legend","Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces</li> </ul><div class=""c...",2026-04-12,https://boards.greenhouse.io/robinhood/jobs/7489328?t=gh_src=&gh_jid=7489328
Greenhouse,Robinhood,Finance & Strategy Senior Analyst,"Chicago, IL; Menlo Park, CA; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-02,https://boards.greenhouse.io/robinhood/jobs/7759805?t=gh_src=&gh_jid=7759805
Greenhouse,Robinhood,"Finance & Strategy Manager, Prediction Markets","Chicago, IL; Menlo Park, CA; New York, NY",On-site,catered meals,1,"...t=""4597"" data-end=""5297"">Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-01,https://boards.greenhouse.io/robinhood/jobs/7604327?t=gh_src=&gh_jid=7604327
Greenhouse,Robinhood,Financial Reporting Manager,"Menlo Park, CA; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-03-27,https://boards.greenhouse.io/robinhood/jobs/7723227?t=gh_src=&gh_jid=7723227
Greenhouse,Robinhood,Insider Threat Investigator,"Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-13,https://boards.greenhouse.io/robinhood/jobs/7697791?t=gh_src=&gh_jid=7697791
Greenhouse,Robinhood,"Manager, M&A Integration","Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-03-26,https://boards.greenhouse.io/robinhood/jobs/7740317?t=gh_src=&gh_jid=7740317
Greenhouse,Robinhood,iOS Engineer,"Menlo Park, CA",On-site,catered meals,1,"...t=""2756"" data-end=""3476"">Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul> <h2><strong...",2026-04-08,https://boards.greenhouse.io/robinhood/jobs/7794027?t=gh_src=&gh_jid=7794027
Greenhouse,Robinhood,Manager of Corporate Accounting,"Chicago, IL; Menlo Park, CA; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-10,https://boards.greenhouse.io/robinhood/jobs/7723234?t=gh_src=&gh_jid=7723234
Greenhouse,Robinhood,Manager of Global Mobility & Immigration,"Chicago, IL; Menlo Park, CA; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul> <p><br><br>...",2026-04-10,https://boards.greenhouse.io/robinhood/jobs/7783116?t=gh_src=&gh_jid=7783116
Greenhouse,Robinhood,Manager of Learning & Development,"Chicago, IL; Menlo Park, CA; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-02,https://boards.greenhouse.io/robinhood/jobs/7736809?t=gh_src=&gh_jid=7736809
Greenhouse,Robinhood,Market Risk Senior Analyst,"Chicago, IL; Denver, CO; Lake Mary, FL; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-03,https://boards.greenhouse.io/robinhood/jobs/7706906?t=gh_src=&gh_jid=7706906
Greenhouse,Robinhood,Margin Specialist,"Chicago, IL; Denver, CO; Lake Mary, FL; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-08,https://boards.greenhouse.io/robinhood/jobs/7782224?t=gh_src=&gh_jid=7782224
Greenhouse,Robinhood,PeopleX Partner Intern,"Menlo Park, CA; New York, NY",On-site,"catered meals, fully stocked kitchen, stocked kitchen",3,"...start=""1390"" data-end=""1496"">Lively office environment with catered meals, fully stocked kitchens, and geo-specific commuter benefits...",2026-03-31,https://boards.greenhouse.io/robinhood/jobs/7155924?t=gh_src=&gh_jid=7155924
Greenhouse,Robinhood,"Product Manager, Crypto Trading","Menlo Park, CA; New York, NY",On-site,"catered meals, fully stocked kitchen, stocked kitchen",3,"...al leave, and more!</li> <li>Lively office environment with catered meals, fully stocked kitchens, and geo-specific commuter benefits...",2026-04-03,https://boards.greenhouse.io/robinhood/jobs/7536920?t=gh_src=&gh_jid=7536920
Greenhouse,Robinhood,"Product Manager, Money Movement","Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-07,https://boards.greenhouse.io/robinhood/jobs/7747728?t=gh_src=&gh_jid=7747728
Greenhouse,Robinhood,"Product Designer, Growth","Bellevue, WA; Menlo Park, CA; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-08,https://boards.greenhouse.io/robinhood/jobs/6494244?t=gh_src=&gh_jid=6494244
Greenhouse,Robinhood,Securities Management Operations Senior Specialist,"Chicago, IL; Denver, CO; Lake Mary, FL; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-14,https://boards.greenhouse.io/robinhood/jobs/7746676?t=gh_src=&gh_jid=7746676
Greenhouse,Robinhood,"Security Engineer, Detection & Response","Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-13,https://boards.greenhouse.io/robinhood/jobs/7697725?t=gh_src=&gh_jid=7697725
Greenhouse,Robinhood,Senior Android Engineer,"Menlo Park, CA",On-site,"catered meals, stocked kitchen",2,"...t=""3557"" data-end=""3648"">Exceptional office experience with catered meals, stocked kitchens, and commuter benefits</p> </li> </ul><di...",2026-04-07,https://boards.greenhouse.io/robinhood/jobs/7412393?t=gh_src=&gh_jid=7412393
Greenhouse,Robinhood,Senior Cloud Security Engineer,"Bellevue, WA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-13,https://boards.greenhouse.io/robinhood/jobs/7178427?t=gh_src=&gh_jid=7178427
Greenhouse,Robinhood,"Senior Data Scientist, Fraud ","Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.<br><br></li> </ul> <p>...",2026-04-13,https://boards.greenhouse.io/robinhood/jobs/7412037?t=gh_src=&gh_jid=7412037
Greenhouse,Robinhood,"Senior Analytics Engineer, Corporate Strategy","Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-03-18,https://boards.greenhouse.io/robinhood/jobs/7346630?t=gh_src=&gh_jid=7346630
Greenhouse,Robinhood,"Senior Data Scientist, ML (Brokerage)","Menlo Park, CA; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul> <p>&nbsp;</...",2026-04-14,https://boards.greenhouse.io/robinhood/jobs/7482186?t=gh_src=&gh_jid=7482186
Greenhouse,Robinhood,"Senior Data Scientist, ML (Incentives)","Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces</li> </ul> <p>&nbsp;</p...",2026-04-13,https://boards.greenhouse.io/robinhood/jobs/7596426?t=gh_src=&gh_jid=7596426
Greenhouse,Robinhood,"Senior Data Scientist, Product","Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-03-18,https://boards.greenhouse.io/robinhood/jobs/7324981?t=gh_src=&gh_jid=7324981
Greenhouse,Robinhood,Senior Director of Creative,"Menlo Park, CA; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul> <p><br><br>...",2026-04-03,https://boards.greenhouse.io/robinhood/jobs/7599307?t=gh_src=&gh_jid=7599307
Greenhouse,Robinhood,"Senior Engineering Manager, Application and Product Security","Bellevue, WA; Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-13,https://boards.greenhouse.io/robinhood/jobs/7473367?t=gh_src=&gh_jid=7473367
Greenhouse,Robinhood,"Customer Experience Associate, Money","Denver, CO; Westlake, TX",On-site,"catered meals, fully stocked kitchen, stocked kitchen",3,"...al leave, and more!</li> <li>Lively office environment with catered meals, fully stocked kitchens, and geo-specific commuter benefits...",2026-04-13,https://boards.greenhouse.io/robinhood/jobs/7811698?t=gh_src=&gh_jid=7811698
Greenhouse,Robinhood,Senior iOS Engineer,"Menlo Park, CA; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-01,https://boards.greenhouse.io/robinhood/jobs/6675127?t=gh_src=&gh_jid=6675127
Greenhouse,Robinhood,Senior Fraud Operations Specialist,"Denver, CO",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul> <p>&nbsp;</...",2026-04-13,https://boards.greenhouse.io/robinhood/jobs/7804749?t=gh_src=&gh_jid=7804749
Greenhouse,Robinhood,Senior Growth Marketing Manager,"Menlo Park, CA; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-03,https://boards.greenhouse.io/robinhood/jobs/7593325?t=gh_src=&gh_jid=7593325
Greenhouse,Robinhood,"Senior Machine Learning Engineer, Agentic","Bellevue, WA; Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces</li> </ul> </div> </div...",2026-04-13,https://boards.greenhouse.io/robinhood/jobs/7121213?t=gh_src=&gh_jid=7121213
Greenhouse,Robinhood,"Senior Manager, Crypto Compliance (BVI)","Menlo Park, CA; New York, NY",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul> <p><br><br>...",2026-04-14,https://boards.greenhouse.io/robinhood/jobs/7815430?t=gh_src=&gh_jid=7815430
Greenhouse,Robinhood,Senior Partnerships Manager,"Menlo Park, CA; New York, NY; Washington, DC",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-08,https://boards.greenhouse.io/robinhood/jobs/7782425?t=gh_src=&gh_jid=7782425
Greenhouse,Robinhood,"Senior Manager Tax, Product and M&A","Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul> <p>&nbsp;</...",2026-03-24,https://boards.greenhouse.io/robinhood/jobs/7489988?t=gh_src=&gh_jid=7489988
